"2014 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Cofire Fuels?,Switch Between Oil and Natural Gas?
221,"Alaska Village Elec Coop, Inc",6341,Selawik,AK,Northwest Arctic,1,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,12,1974,6,2003,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6341,Selawik,AK,Northwest Arctic,2,Petroleum Liquids,IC,,S,X,X,,,0.7, ,0.7,0.7, ,, , ,RE,X,6,2003,4,2005,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6341,Selawik,AK,Northwest Arctic,3,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,0,1978,6,2003,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6348,Togiak,AK,Dillingham,2,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,3,1970,8,2004,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6348,Togiak,AK,Dillingham,5,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,RE,X,10,1986,9,2004,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",57053,Alakanuk,AK,WADE HAMPTON,G309,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,IP,X, , , , ,Y,Electric Utility,1,,JF,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",57055,Stebbins,AK,Nome,UNIT1,Petroleum Liquids,IC,,S,X,X,,,0.5,0.900,0.5,0.5,0.1,N, , ,RE,X,10,2007,3,2014,Y,Electric Utility,1,T,JF,,,,,,,,,,N,, ,10M,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",57055,Stebbins,AK,Nome,UNIT2,Petroleum Liquids,IC,,S,X,X,,,0.4,0.900,0.4,0.4,0.1,N, , ,RE,X,3,1992,3,2014,Y,Electric Utility,1,T,JF,,,,,,,,,,N,, ,10M,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",57055,Stebbins,AK,Nome,UNIT3,Petroleum Liquids,IC,,S,X,X,,,0.3,0.900,0.3,0.3,0.1,N, , ,RE,X,5,1990,3,2014,Y,Electric Utility,1,T,JF,,,,,,,,,,N,, ,10M,,,,,,,,,
298,City of Alexandria - (LA),6558,D G Hunter,LA,Rapides,1,Natural Gas Steam Turbine,ST,,S,X,X,,,17.5,0.850,16.0,16.0, ,N, , ,RE,X,0,1956,1,2005,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,
298,City of Alexandria - (LA),6558,D G Hunter,LA,Rapides,2,Natural Gas Steam Turbine,ST,,S,X,X,,,17.5,0.850,16.0,16.0, ,N, , ,RE,X,0,1956,1,2005,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,N,
306,Brookfield Smoky Mountain Hydropower LLC,54899,Cheoah,NC,Graham,1,Conventional Hydroelectric,HY,,S,X,X,,,20.0, ,21.0,21.0, ,, , ,RE,X,4,1919,5,2012,N,Electric Utility,1,X,WAT,,,,,,,,,,N,,0,,,,,,,,,,
306,Brookfield Smoky Mountain Hydropower LLC,54899,Cheoah,NC,Graham,2,Conventional Hydroelectric,HY,,S,X,X,,,20.0, ,21.0,21.0, ,, , ,RE,X,4,1919,5,2012,N,Electric Utility,1,X,WAT,,,,,,,,,,N,,0,,,,,,,,,,
306,Brookfield Smoky Mountain Hydropower LLC,54899,Cheoah,NC,Graham,3,Conventional Hydroelectric,HY,,S,X,X,,,20.0, ,21.0,21.0, ,, , ,RE,X,4,1919,5,2012,N,Electric Utility,1,X,WAT,,,,,,,,,,N,,0,,,,,,,,,,
306,Brookfield Smoky Mountain Hydropower LLC,54899,Cheoah,NC,Graham,4,Conventional Hydroelectric,HY,,S,X,X,,,20.0, ,21.0,21.0, ,, , ,RE,X,4,1919,10,2012,N,Electric Utility,1,X,WAT,,,,,,,,,,N,,0,,,,,,,,,,
309,City of Algona - (IA),1120,Algona,IA,Kossuth,3,Petroleum Liquids,IC,,S,X,X,,,0.7, ,0.6,0.6, ,N, , ,RE,X,1,1938,9,2003,N,Electric Utility,1,X,DFO,NG,,,,,,,,,,, ,,,,,,,,,,Y
309,City of Algona - (IA),1120,Algona,IA,Kossuth,4,Petroleum Liquids,IC,,S,X,X,,,1.0, ,0.8,0.8, ,N, , ,RE,X,1,1941,4,2002,N,Electric Utility,1,X,DFO,NG,,,,,,,,,,, ,,,,,,,,,,
309,City of Algona - (IA),1120,Algona,IA,Kossuth,5,Petroleum Liquids,IC,,S,X,X,,,1.5, ,1.1,1.1, ,N, , ,RE,X,1,1947,6,2002,N,Electric Utility,1,X,DFO,NG,,,,,,,,,,, ,,,,,,,,,,
327,Air Liquide Large Industries U S LP,10298,Bayou Cogen Plant,TX,Harris,GEN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,75.0,0.800,65.0,85.0,45.0,N, , ,RE,X,12,1984,1,2014,Y,Industrial CHP,7,T,NG,OG,,,,,,,,,N,, ,12H,,,,,,,,Y,
361,Industrial Energy Applications Inc,54713,Alliant SBD 8603 Donnelley,IA,Story,1233,Petroleum Liquids,IC,,S,X,X,,,1.0,0.800,1.0,1.0,0.1,N, , ,RE,X,3,1996,10,2000,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,,N, ,10M,,,,,,,,,
361,Industrial Energy Applications Inc,54929,Alliant SBD 9403 Aegon DC,IA,Linn,6110,Petroleum Liquids,IC,,S,X,X,,,1.6,0.800,1.6,1.6,0.1,N, , ,RE,X,1,1995,11,2003,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,10M,,,,,,,,,
361,Industrial Energy Applications Inc,54930,Alliant SBD 9402 Climax,IA,Lee,5100,Petroleum Liquids,IC,,S,X,X,,,1.6, ,1.6,1.6, ,, , ,RE,X,7,1995,3,2011,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,54930,Alliant SBD 9402 Climax,IA,Lee,5200,Petroleum Liquids,IC,,S,X,X,,,1.6, ,1.6,1.6, ,, , ,RE,X,7,1995,3,2011,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,54930,Alliant SBD 9402 Climax,IA,Lee,5300,Petroleum Liquids,IC,,S,X,X,,,1.6, ,1.6,1.6, ,, , ,RE,X,7,1995,3,2011,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,54930,Alliant SBD 9402 Climax,IA,Lee,5400,Petroleum Liquids,IC,,S,X,X,,,1.6, ,1.6,1.6, ,, , ,RE,X,7,1995,3,2011,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,54930,Alliant SBD 9402 Climax,IA,Lee,5500,Petroleum Liquids,IC,,S,X,X,,,1.6, ,1.6,1.6, ,, , ,RE,X,7,1995,3,2011,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,55315,Alliant SBD 9702 Cedar Graphics,IA,Linn,GEN1,Petroleum Liquids,IC,,S,X,X,,,1.0, ,1.0,1.0, ,, , ,RE,X,5,1997,12,2007,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
361,Industrial Energy Applications Inc,56072,Alliant SBD 9801 Aegon Martha's Way,IA,Linn,01,Petroleum Liquids,IC,,S,X,X,,,1.1,0.800,1.0,1.0,0.1,N, , ,RE,X,8,1998,4,2012,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,N, ,10M,,,,,,,,,
405,City of Alta - (IA),1121,Alta Municipal Utilities,IA,Buena Vista,3,Petroleum Liquids,IC,,S,X,X,,,1.1,1.000,1.0,1.1,0.0,N, , ,RE,Y,6,1990,11,2014,N,Electric Utility,1,X,DFO,NG,,,,,,,,,N,N, ,1H,,,,,,,,N,Y
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,16.3, ,17.7,19.4, ,, , ,RE,X,12,1968,8,2004,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,Y,Y
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,D1,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.2,1.2, ,, , ,RE,X,0,1956,1,2010,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,D2,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.4,1.4, ,, , ,RE,X,0,1947,1,2010,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
623,Anheuser-Busch Inc,54913,Anheuser-Busch Newark Brewery,NJ,ESSEX,GEN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,6.5, ,6.5,6.5, ,N, , ,RE,X,6,1995,4,2004,Y,Industrial CHP,7,T,NG,DFO,OBG,,,,,,,,N,N, ,OVER,,,,,,,,Y,Y
623,Anheuser-Busch Inc,54913,Anheuser-Busch Newark Brewery,NJ,ESSEX,GEN2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,6.5, ,6.5,6.5, ,, , ,RE,X,11,1995,4,2004,Y,Industrial CHP,7,T,NG,DFO,OBG,,,,,,,,N,, ,OVER,,,,,,,,Y,Y
682,City of Anita - (IA),1123,Anita,IA,Cass,1,Petroleum Liquids,IC,,S,X,X,,,0.1, ,0.1,0.1, ,N, , ,RE,X,10,1939,1,2003,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,10M,,,,,,,,N,N
733,Appalachian Power Co,3938,Philip Sporn,WV,Mason,5,Conventional Steam Coal,ST,,W,X,X,,,495.5,0.850,440.0,450.0,270.0,N, , ,RE,X,12,1960,2,2012,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,12H,,Y,,,,Y,,,
772,Archer Daniels Midland Co,10857,Archer Daniels Midland Fredonia,KS,Wilson,GEN1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,2.7, ,2.5,2.7, ,, , ,RE,X,1,1986,3,2003,N,Industrial Non-CHP,6,X,NG,,,,,,,,,,,, ,,,,,,,,,,
772,Archer Daniels Midland Co,10857,Archer Daniels Midland Fredonia,KS,Wilson,GEN2,Petroleum Liquids,IC,,S,X,X,,,1.0, ,1.0,1.0, ,, , ,RE,X,1,1987,3,2003,N,Industrial Non-CHP,6,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
772,Archer Daniels Midland Co,10857,Archer Daniels Midland Fredonia,KS,Wilson,GEN3,Petroleum Liquids,IC,,S,X,X,,,0.4, ,0.4,0.4, ,, , ,RE,X,10,1990,3,2003,N,Industrial Non-CHP,6,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
772,Archer Daniels Midland Co,10859,Valdosta,GA,Lowndes,GEN1,Wood/Wood Waste Biomass,ST,,S,X,X,,,2.5, ,2.5,2.5, ,, , ,RE,X,1,1985,1,1995,N,Industrial Non-CHP,6,X,WDS,,,,,,,,,,N,, ,,,,,,,,,,
